id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,accommodates,bedrooms,beds,bathrooms,room_type_ord,amenity_count,minimum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_superhost,host_identity_verified_f,is_instant_bookable,host_response_rate_f,host_acceptance_rate_f,host_response_time_ord,has_license,has_wifi,has_kitchen,has_ac,has_gym,has_parking,has_pool,has_washer,has_dryer,has_elevator,has_doorman,has_pets_allowed,dist_subway_km,near_subway,subway_lines_500m,nearest_subway_cbd,nearest_subway_ada,dist_lirr_km,lirr_count_1mi,poi_count_500m,poi_count_1km,tourist_poi_500m,crime_count_500m,estimated_occupancy_l365d,estimated_revenue_l365d,boro_Bronx,boro_Brooklyn,boro_Manhattan,boro_Queens,boro_Staten Island,prop_Entire home,prop_Hotel room,prop_Other,prop_Private room,prop_Shared room,price_numeric,log_price
47873210,40.65432,-73.92569,East Flatbush,Brooklyn,2,1.0,1.0,1.0,2,20,5,46,21,6,0.42,4.9,4.95,5.0,4.86,4.95,4.43,4.86,1,1,0,1.0,0.96,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1.1193239612262136,0,0,0,0,3.034806667576174,0,28,173,4,403,77,5082.0,False,True,False,False,False,False,False,False,True,False,66.0,4.204692619390966
47977634,40.65631,-73.92611,East Flatbush,Brooklyn,1,1.0,1.0,1.0,2,62,2,133,100,20,1.83,4.81,4.81,4.64,4.85,4.91,4.61,4.66,1,1,0,1.0,0.95,1.0,1,1,1,1,0,1,0,1,1,0,0,0,0.9803262790447074,0,0,0,0,2.8856306685863617,0,41,188,7,336,255,17085.0,False,True,False,False,False,False,False,False,True,False,67.0,4.219507705176107
47982995,40.80005,-73.96138,Upper West Side,Manhattan,2,1.0,1.0,1.5,2,46,1,333,99,24,1.73,4.86,4.79,4.69,4.95,4.89,4.85,4.7,1,1,0,1.0,0.69,2.0,1,1,1,1,0,0,0,1,1,0,0,0,0.27784460370622566,1,2,0,0,5.130050197897426,0,71,336,25,282,255,48450.0,False,False,True,False,False,False,False,False,True,False,190.0,5.25227342804663
47900810,40.6407830626078,-73.95139830050242,East Flatbush,Brooklyn,2,1.0,1.0,1.0,2,42,2,328,214,56,3.73,4.93,4.94,4.95,4.97,4.98,4.6,4.81,1,1,0,1.0,1.0,1.0,1,1,1,0,0,1,0,0,1,0,0,0,0.26789313860848907,1,2,0,0,4.189386027941758,0,47,153,6,487,255,30855.0,False,True,False,False,False,False,False,False,True,False,121.0,4.804021044733257
47906957,40.65565,-73.91309,Brownsville,Brooklyn,2,1.0,2.0,1.0,2,45,1,232,416,84,7.18,4.79,4.87,4.8,4.89,4.92,4.58,4.78,1,1,1,1.0,1.0,1.0,1,1,1,1,0,1,0,1,1,0,0,1,0.7006587747861623,0,0,0,0,2.3908650300150365,0,55,207,20,510,255,23715.0,False,True,False,False,False,False,False,False,True,False,93.0,4.543294782270004
48030596,40.74745,-73.98874,Midtown,Manhattan,4,0.0,2.0,1.0,3,32,1,353,351,100,6.55,4.6,4.69,4.6,4.77,4.83,4.88,4.46,0,1,1,1.0,0.98,1.0,1,1,1,0,0,0,0,1,1,1,0,1,0.21753644394439242,1,11,1,0,0.4782475713154544,2,256,943,139,2553,255,65280.0,False,False,True,False,False,True,False,False,False,False,256.0,5.54907608489522
48182605,40.65076,-74.00779,Sunset Park,Brooklyn,1,1.0,1.0,1.0,2,37,4,133,118,3,2.11,4.96,4.94,4.81,4.97,4.95,4.87,4.86,0,1,0,1.0,1.0,3.0,1,1,1,0,0,1,0,0,1,0,0,0,0.27559246289838313,1,1,0,0,4.5574419834524,0,85,213,21,520,38,3078.0,False,True,False,False,False,False,False,False,True,False,81.0,4.406719247264253
48215693,40.676938859734385,-73.83849888015966,Ozone Park,Queens,2,1.0,1.0,1.0,2,48,5,346,83,18,1.45,4.66,4.71,4.85,4.89,4.79,4.6,4.5,0,1,0,1.0,0.95,1.0,1,1,1,0,0,1,0,0,1,0,0,0,0.5350794184051446,0,0,0,0,3.5759751607763084,0,29,77,5,62,230,21850.0,False,False,False,True,False,False,False,False,True,False,95.0,4.564348191467836
48104025,40.74759,-73.98895,Midtown,Manhattan,4,0.0,2.0,1.0,3,28,7,355,83,28,1.45,4.65,4.65,4.58,4.59,4.78,4.92,4.36,0,1,0,1.0,0.98,1.0,1,1,1,0,0,1,0,0,1,0,0,1,0.2340836262430377,1,11,1,0,0.45468440522282305,2,265,928,144,2878,255,64260.0,False,False,True,False,False,True,False,False,False,False,252.0,5.53338948872752
48111149,40.62527,-73.91304,Bergen Beach,Brooklyn,4,2.0,2.0,1.5,2,58,1,365,28,9,0.66,4.86,4.86,4.93,4.96,4.89,4.75,4.64,1,1,0,1.0,1.0,1.0,1,1,1,0,0,1,1,1,1,0,0,1,2.558411315558511,0,0,0,1,5.689650937812578,0,17,52,2,50,115,31050.0,False,True,False,False,False,False,False,False,True,False,270.0,5.602118820879701
