listing_id,mean_sentiment,median_sentiment,num_reviews,positive_ratio,negative_ratio,neutral_ratio,segment
1171648490889909084,0.22898371469800036,0.22898371469800036,4,1.0,0.0,0.0,satisfactory
1171784193331667071,0.8,0.8,4,1.0,0.0,0.0,satisfactory
1171907062596212569,0.4004499288465141,0.3888888888888889,459,1.0,0.0,0.0,satisfactory
1172259302904879588,0.6400000000000001,0.6400000000000001,11,1.0,0.0,0.0,satisfactory
1172294590570526294,0.3750017784738692,0.38020833333333337,739,0.9066305818673883,0.037889039242219216,0.05548037889039242,satisfactory
1172359677808550406,0.3627025306978137,0.3812121212121212,53,1.0,0.0,0.0,satisfactory
1172445787241483731,0.3286706349206349,0.3286706349206349,22,1.0,0.0,0.0,satisfactory
1172462116711578594,0.4092727470851041,0.28996240601503764,5,1.0,0.0,0.0,satisfactory
1172500363755547171,0.06351190476190481,0.07380952380952381,55,0.6,0.2,0.2,moderate
1172519997987945317,0.3466666666666666,0.3466666666666666,11,1.0,0.0,0.0,satisfactory
1172529886815492541,-0.057051282051282064,-0.05705128205128206,11,0.0,1.0,0.0,dissatisfactory
1172532404226920761,0.30678500986193297,0.3625641025641026,13,0.8461538461538461,0.0,0.15384615384615385,moderate
1172604671884928390,0.2838285714285715,0.2838285714285715,11,1.0,0.0,0.0,satisfactory
1172674114375162597,0.3595413999522885,0.32500000000000007,368,0.9809782608695652,0.019021739130434784,0.0,satisfactory
1172960017227697691,0.44604906061751304,0.55,216,0.9166666666666666,0.032407407407407406,0.05092592592592592,satisfactory
1173103794217373729,0.3826635785371122,0.3923333333333333,461,0.9544468546637744,0.021691973969631236,0.02386117136659436,satisfactory
1173108387029964187,0.4444444444444444,0.4444444444444444,4,1.0,0.0,0.0,satisfactory
1173138403405878641,0.7250000000000001,0.7250000000000001,3,1.0,0.0,0.0,satisfactory
1173155686408356519,0.4076353149290283,0.37000000000000005,382,0.9424083769633508,0.05759162303664921,0.0,satisfactory
1173168273112763284,0.4662376888178282,0.49350649350649345,369,0.9024390243902439,0.05420054200542006,0.04336043360433604,satisfactory
1173178020006389735,0.37027929702691303,0.3417543859649123,287,0.9930313588850174,0.006968641114982578,0.0,satisfactory
1173184225634950250,0.36955792746786664,0.3753333333333334,431,0.8051044083526682,0.08120649651972157,0.1136890951276102,moderate
1173233962500563626,0.4122917638983228,0.4092592592592592,786,0.9236641221374046,0.043256997455470736,0.03307888040712468,satisfactory
1173237288996322274,0.37618040263308117,0.36583333333333334,700,0.9014285714285715,0.07285714285714286,0.025714285714285714,satisfactory
1173239609371845295,0.405498789113923,0.4,306,0.9281045751633987,0.03594771241830065,0.03594771241830065,satisfactory
1173497139301669046,0.49910285601844045,0.5,77,0.8571428571428571,0.14285714285714285,0.0,moderate
1173823529622100600,0.4710084033613446,0.5142857142857143,17,1.0,0.0,0.0,satisfactory
1174431677894263183,0.8,0.8,11,1.0,0.0,0.0,satisfactory
1174665140305981711,0.3864367496349423,0.39848484848484844,475,0.9936842105263158,0.0,0.00631578947368421,satisfactory
1174723353117494997,0.5246705693296603,0.5291666666666668,44,1.0,0.0,0.0,satisfactory
1174943992395900711,0.4660714285714286,0.375,14,1.0,0.0,0.0,satisfactory
1174964254378036352,0.8,0.8,10,1.0,0.0,0.0,satisfactory
1175639296332223107,0.4066666666666666,0.4066666666666666,2,1.0,0.0,0.0,satisfactory
1175731800751703749,0.33366170634920633,0.47777777777777775,20,1.0,0.0,0.0,satisfactory
1175891485820742890,0.4278910220214568,0.43374999999999997,36,1.0,0.0,0.0,satisfactory
1175917377217904984,0.6,0.6,1,1.0,0.0,0.0,satisfactory
1176109588788492097,0.4757017543859649,0.42105263157894735,12,1.0,0.0,0.0,satisfactory
1176163500569034058,0.36495668337510445,0.3865263157894737,60,0.85,0.15,0.0,moderate
